iso3,pays,nuts3,region,densite_hab_km2
NLD,Pays-Bas,NL414,Zuidoost-Noord-Brabant,548.6
NLD,Pays-Bas,NL412,Midden-Noord-Brabant (NUTS 2021),550.6
NLD,Pays-Bas,NL33A,Zuidoost-Zuid-Holland (NUTS 2021),791.1
NLD,Pays-Bas,NL226,Arnhem/Nijmegen,828.5
NLD,Pays-Bas,NL328,Alkmaar en omgeving,846.5
NLD,Pays-Bas,NL423,Zuid-Limburg,915.3
NLD,Pays-Bas,NL310,Utrecht (NUTS 2021),981.3
NLD,Pays-Bas,NL323,IJmond,1228.0
NLD,Pays-Bas,NL327,Het Gooi en Vechtstreek,1254.9
NLD,Pays-Bas,NL325,Zaanstreek,1433.5
NLD,Pays-Bas,NL337,Agglomeratie Leiden en Bollenstreek (NUTS 2021),1534.8
NLD,Pays-Bas,NL333,Delft en Westland (NUTS 2021),1548.5
NLD,Pays-Bas,NL324,Agglomeratie Haarlem (NUTS 2021),1738.6
NLD,Pays-Bas,NL332,Agglomeratie 's-Gravenhage (NUTS 2021),3488.1
