dep,densite_hab_km2,population,superficie_km2,ecoles_1d,ecoles_pour_10k,police,gendarmerie,securite_pour_10k,colleges,lycees,second_degre_pour_10k,eur_hab_communal
76,200.1,1260964.0,6302.818,1025,8.13,38,42,0.63,135,86,1.75,1526.0
44,212.5,1487570.0,7001.544800000001,811,5.45,5,44,0.33,151,116,1.79,1477.0
62,218.0,1457905.0,6688.853900000001,1293,8.87,34,44,0.54,160,92,1.73,1406.0
68,218.4,770738.0,3529.0424,543,7.05,5,36,0.53,76,47,1.6,1420.0
90,229.7,140255.0,610.6831,139,9.91,1,8,0.64,18,12,2.14,1404.0
31,231.3,1471468.0,6360.7016,880,5.98,16,49,0.44,136,91,1.54,1419.0
67,242.8,1163810.0,4794.273499999999,778,6.68,4,39,0.37,119,73,1.65,1353.0
77,247.9,1468108.0,5922.4983999999995,1117,7.61,19,29,0.33,159,76,1.6,1578.0
06,262.7,1128418.0,4295.1474,610,5.41,6,36,0.37,103,75,1.58,2184.0
13,410.7,2087658.0,5082.861000000001,1262,6.05,15,33,0.23,206,155,1.73,1915.0
59,454.8,2615635.0,5750.5504,1821,6.96,71,48,0.45,290,189,1.83,1524.0
69,587.7,1914667.0,3258.1506999999997,1048,5.47,25,34,0.31,191,150,1.78,1422.0
78,644.5,1485086.0,2304.3245,1035,6.97,22,20,0.28,162,94,1.72,1693.0
91,736.1,1338485.0,1818.2795,859,6.42,16,24,0.3,129,67,1.46,1750.0
95,1023.5,1281653.0,1252.2074,821,6.41,14,17,0.24,150,69,1.71,1791.0
94,5831.8,1426929.0,244.6791,671,4.7,43,0,0.3,144,80,1.57,1965.0
93,7200.6,1704316.0,236.68989999999994,925,5.43,27,0,0.16,173,107,1.64,2141.0
92,9430.8,1654712.0,175.4591,691,4.18,50,0,0.3,152,93,1.48,2363.0
75,19967.5,2103778.0,105.36030000000001,840,3.99,111,0,0.53,220,216,2.07,4195.0
